n,var1,var2,order1,order2,cor,lab
85,lmean_wage_dep,gini_dep,4,9,0.249801468108595,0.25
85,unemp_dep,gini_dep,5,9,0.0737459564801148,0.07
85,gini_dep,gini_dep,6,9,1,1
85,theil_dep,gini_dep,7,9,0.937380849057064,0.94
85,sharetop1_dep,gini_dep,8,9,0.67740718406329,0.68
85,higher_edu_dep,gini_dep,9,9,0.568910582913938,0.57
85,dist_edu_dep,gini_dep,10,9,-0.500517735490065,-0.5
85,highschool_dep,gini_dep,11,9,0.765213415864821,0.77
85,pct_crimes_dep,gini_dep,12,9,0.683778894970187,0.68
85,participation_dep,gini_dep,13,9,-0.229604339253097,-0.23
85,amenities_dep,gini_dep,14,9,-0.0160204423937016,-0.02
85,density_dep,theil_dep,1,8,0.705943893217447,0.71
85,foreign_dep,theil_dep,2,8,0.363638383338064,0.36
85,single_dep,theil_dep,3,8,0.247613766823151,0.25
85,lmean_wage_dep,theil_dep,4,8,0.368185330371658,0.37
85,unemp_dep,theil_dep,5,8,0.0450699928925964,0.05
85,gini_dep,theil_dep,6,8,0.937380849057064,0.94
85,theil_dep,theil_dep,7,8,1,1
85,sharetop1_dep,theil_dep,8,8,0.606577779094423,0.61
85,higher_edu_dep,theil_dep,9,8,0.669814238547463,0.67
85,dist_edu_dep,theil_dep,10,8,-0.587078586116355,-0.59
85,highschool_dep,theil_dep,11,8,0.748506814386698,0.75
85,pct_crimes_dep,theil_dep,12,8,0.661262530682605,0.66
85,participation_dep,theil_dep,13,8,-0.228999885720668,-0.23
85,amenities_dep,theil_dep,14,8,-0.209271604146086,-0.21
85,density_dep,sharetop1_dep,1,7,0.530769542018094,0.53
85,foreign_dep,sharetop1_dep,2,7,0.32114386085214,0.32
85,single_dep,sharetop1_dep,3,7,0.114365025919179,0.11
85,lmean_wage_dep,sharetop1_dep,4,7,0.433049264082672,0.43
85,unemp_dep,sharetop1_dep,5,7,-0.133687827156673,-0.13
85,gini_dep,sharetop1_dep,6,7,0.67740718406329,0.68
85,theil_dep,sharetop1_dep,7,7,0.606577779094423,0.61
85,sharetop1_dep,sharetop1_dep,8,7,1,1
85,higher_edu_dep,sharetop1_dep,9,7,0.342931857203647,0.34
85,dist_edu_dep,sharetop1_dep,10,7,-0.351560003945181,-0.35
85,highschool_dep,sharetop1_dep,11,7,0.586425875622313,0.59
85,pct_crimes_dep,sharetop1_dep,12,7,0.396109393213252,0.4
85,participation_dep,sharetop1_dep,13,7,-0.248267183803345,-0.25
85,amenities_dep,sharetop1_dep,14,7,0.0415821232978379,0.04
85,density_dep,higher_edu_dep,1,6,0.743508961540568,0.74
85,foreign_dep,higher_edu_dep,2,6,0.257582291696345,0.26
85,single_dep,higher_edu_dep,3,6,0.344936576412476,0.34
85,lmean_wage_dep,higher_edu_dep,4,6,0.514706791474896,0.51
85,unemp_dep,higher_edu_dep,5,6,0.228100357833898,0.23
85,gini_dep,higher_edu_dep,6,6,0.568910582913938,0.57
85,theil_dep,higher_edu_dep,7,6,0.669814238547463,0.67
85,sharetop1_dep,higher_edu_dep,8,6,0.342931857203647,0.34
85,higher_edu_dep,higher_edu_dep,9,6,1,1
85,dist_edu_dep,higher_edu_dep,10,6,-0.714798300083331,-0.71
85,highschool_dep,higher_edu_dep,11,6,0.687063356359249,0.69
85,pct_crimes_dep,higher_edu_dep,12,6,0.67181583711561,0.67
85,participation_dep,higher_edu_dep,13,6,-0.362247610435488,-0.36
85,amenities_dep,higher_edu_dep,14,6,-0.451478953477293,-0.45
85,density_dep,dist_edu_dep,1,5,-0.770741059811319,-0.77
85,foreign_dep,dist_edu_dep,2,5,-0.466270435856474,-0.47
85,single_dep,dist_edu_dep,3,5,-0.528228399477864,-0.53
85,lmean_wage_dep,dist_edu_dep,4,5,-0.566873799519238,-0.57
85,unemp_dep,dist_edu_dep,5,5,-0.187261821079254,-0.19
85,gini_dep,dist_edu_dep,6,5,-0.500517735490065,-0.5
85,theil_dep,dist_edu_dep,7,5,-0.587078586116355,-0.59
85,sharetop1_dep,dist_edu_dep,8,5,-0.351560003945181,-0.35
85,higher_edu_dep,dist_edu_dep,9,5,-0.714798300083331,-0.71
85,dist_edu_dep,dist_edu_dep,10,5,1,1
85,highschool_dep,dist_edu_dep,11,5,-0.64516208653873,-0.65
85,pct_crimes_dep,dist_edu_dep,12,5,-0.632923674614879,-0.63
85,participation_dep,dist_edu_dep,13,5,0.484369362668753,0.48
85,amenities_dep,dist_edu_dep,14,5,0.471947550595852,0.47
85,density_dep,highschool_dep,1,4,0.730508513339723,0.73
85,foreign_dep,highschool_dep,2,4,0.569803028451983,0.57
85,single_dep,highschool_dep,3,4,0.428225387444762,0.43
85,lmean_wage_dep,highschool_dep,4,4,0.66374964511867,0.66
85,unemp_dep,highschool_dep,5,4,-0.0941138247897984,-0.09
85,gini_dep,highschool_dep,6,4,0.765213415864821,0.77
85,theil_dep,highschool_dep,7,4,0.748506814386698,0.75
85,sharetop1_dep,highschool_dep,8,4,0.586425875622313,0.59
85,higher_edu_dep,highschool_dep,9,4,0.687063356359249,0.69
85,dist_edu_dep,highschool_dep,10,4,-0.64516208653873,-0.65
85,highschool_dep,highschool_dep,11,4,1,1
85,pct_crimes_dep,highschool_dep,12,4,0.715789633380526,0.72
85,participation_dep,highschool_dep,13,4,-0.464486891070807,-0.46
85,amenities_dep,highschool_dep,14,4,-0.108682268784491,-0.11
85,density_dep,pct_crimes_dep,1,3,0.698403672954086,0.7
85,foreign_dep,pct_crimes_dep,2,3,0.581346898248991,0.58
85,single_dep,pct_crimes_dep,3,3,0.555729505731194,0.56
85,lmean_wage_dep,pct_crimes_dep,4,3,0.441745718125731,0.44
85,unemp_dep,pct_crimes_dep,5,3,0.386388588247478,0.39
85,gini_dep,pct_crimes_dep,6,3,0.683778894970187,0.68
85,theil_dep,pct_crimes_dep,7,3,0.661262530682605,0.66
85,sharetop1_dep,pct_crimes_dep,8,3,0.396109393213252,0.4
85,higher_edu_dep,pct_crimes_dep,9,3,0.67181583711561,0.67
85,dist_edu_dep,pct_crimes_dep,10,3,-0.632923674614879,-0.63
85,highschool_dep,pct_crimes_dep,11,3,0.715789633380526,0.72
85,pct_crimes_dep,pct_crimes_dep,12,3,1,1
85,participation_dep,pct_crimes_dep,13,3,-0.608570718348271,-0.61
85,amenities_dep,pct_crimes_dep,14,3,-0.201321982883305,-0.2
85,density_dep,participation_dep,1,2,-0.551155814000615,-0.55
85,foreign_dep,participation_dep,2,2,-0.549390519510932,-0.55
85,single_dep,participation_dep,3,2,-0.591999486005216,-0.59
85,lmean_wage_dep,participation_dep,4,2,-0.565533635359668,-0.57
85,unemp_dep,participation_dep,5,2,-0.203918176683412,-0.2
85,gini_dep,participation_dep,6,2,-0.229604339253097,-0.23
85,theil_dep,participation_dep,7,2,-0.228999885720668,-0.23
85,sharetop1_dep,participation_dep,8,2,-0.248267183803345,-0.25
85,higher_edu_dep,participation_dep,9,2,-0.362247610435488,-0.36
85,dist_edu_dep,participation_dep,10,2,0.484369362668753,0.48
85,highschool_dep,participation_dep,11,2,-0.464486891070807,-0.46
85,pct_crimes_dep,participation_dep,12,2,-0.608570718348271,-0.61
85,participation_dep,participation_dep,13,2,1,1
85,amenities_dep,participation_dep,14,2,0.194321944815483,0.19
85,density_dep,amenities_dep,1,1,-0.469497426233278,-0.47
85,foreign_dep,amenities_dep,2,1,-0.120575449293978,-0.12
85,single_dep,amenities_dep,3,1,-0.108396361310954,-0.11
85,lmean_wage_dep,amenities_dep,4,1,-0.419803847838515,-0.42
85,unemp_dep,amenities_dep,5,1,-0.230544333226245,-0.23
85,gini_dep,amenities_dep,6,1,-0.0160204423937016,-0.02
85,theil_dep,amenities_dep,7,1,-0.209271604146086,-0.21
85,sharetop1_dep,amenities_dep,8,1,0.0415821232978379,0.04
85,higher_edu_dep,amenities_dep,9,1,-0.451478953477293,-0.45
85,dist_edu_dep,amenities_dep,10,1,0.471947550595852,0.47
85,highschool_dep,amenities_dep,11,1,-0.108682268784491,-0.11
85,pct_crimes_dep,amenities_dep,12,1,-0.201321982883305,-0.2
85,participation_dep,amenities_dep,13,1,0.194321944815483,0.19
85,amenities_dep,amenities_dep,14,1,1,1
